combo_no;bot_name;projected_net_pnl_at_max_risk_usd;original_net_pnl_usd;profit_factor
1929;M30_w0.26_o3_r2.0_f0.55_mkt_df20260101_dt20260510_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD.x_sf0.75_afxshift_sl_wpTrue_exp3_extexp7_pcmnumber_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_tdirTrue_thhlTrue_bos_entry_enableTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_ext_counter_enabledTrue_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT;94520.71;47580.78;1.7
1933;M30_w0.26_o3_r2.0_f0.55_mkt_df20260101_dt20260510_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD.x_sf0.75_afxshift_sl_wpTrue_exp3_extexp7_pcmnumber_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_tdirTrue_thhlTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_ext_counter_enabledTrue_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT;94520.71;47580.78;1.7
2953;M30_w0.26_o3_r2.0_f0.5_mkt_df20260101_dt20260510_tp_target_wave_index8_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD.x_sf0.8_afxshift_sl_wpTrue_exp3_extexp7_pcmnumber_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_tdirTrue_thhlTrue_bos_entry_enableTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_ext_counter_enabledTrue_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT;89665.87;45136.9;1.69
2957;M30_w0.26_o3_r2.0_f0.5_mkt_df20260101_dt20260510_tp_target_wave_index8_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD.x_sf0.8_afxshift_sl_wpTrue_exp3_extexp7_pcmnumber_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_tdirTrue_thhlTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_ext_counter_enabledTrue_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT;89665.87;45136.9;1.69
1801;M30_w0.26_o3_r2.0_f0.5_mkt_df20260101_dt20260510_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD.x_sf0.8_afxshift_sl_wpTrue_exp3_extexp7_pcmnumber_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_tdirTrue_thhlTrue_bos_entry_enableTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_ext_counter_enabledTrue_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT;89655.83;45131.85;1.65
1805;M30_w0.26_o3_r2.0_f0.5_mkt_df20260101_dt20260510_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD.x_sf0.8_afxshift_sl_wpTrue_exp3_extexp7_pcmnumber_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_tdirTrue_thhlTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_ext_counter_enabledTrue_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT;89655.83;45131.85;1.65
1930;M30_w0.26_o3_r2.0_f0.55_mkt_df20260101_dt20260510_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD.x_sf0.75_afxshift_sl_wpTrue_exp3_extexp7_pcmnumber_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_tdirTrue_thhlTrue_bos_entry_enableTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT;87589.11;44073.09;1.71
1934;M30_w0.26_o3_r2.0_f0.55_mkt_df20260101_dt20260510_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD.x_sf0.75_afxshift_sl_wpTrue_exp3_extexp7_pcmnumber_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_tdirTrue_thhlTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT;87589.11;44073.09;1.71
2377;M30_w0.26_o3_r2.0_f0.5_mkt_df20260101_dt20260510_tp_target_wave_index6_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD.x_sf0.8_afxshift_sl_wpTrue_exp3_extexp7_pcmnumber_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_tdirTrue_thhlTrue_bos_entry_enableTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_ext_counter_enabledTrue_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT;86685.47;43636.6;1.66
2381;M30_w0.26_o3_r2.0_f0.5_mkt_df20260101_dt20260510_tp_target_wave_index6_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD.x_sf0.8_afxshift_sl_wpTrue_exp3_extexp7_pcmnumber_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_tdirTrue_thhlTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_ext_counter_enabledTrue_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT;86685.47;43636.6;1.66
