datetime,open,high,low,close,volume
2025-11-27 19:21:00,4155.23,4155.87,4154.62,4154.68,198
2025-11-27 19:24:00,4154.68,4155.65,4154.67,4155.5,168
2025-11-27 19:27:00,4155.5,4156.8,4155.36,4156.29,248
2025-11-27 19:30:00,4156.34,4156.97,4155.91,4156.43,245
2025-11-27 19:33:00,4156.43,4157.77,4156.01,4157.5,225
2025-11-27 19:36:00,4157.5,4157.68,4156.58,4157.14,257
2025-11-27 19:39:00,4157.14,4157.74,4156.87,4157.49,181
2025-11-27 19:42:00,4157.49,4157.83,4156.86,4156.99,231
2025-11-27 19:45:00,4156.99,4157.47,4156.7,4157.25,151
2025-11-27 19:48:00,4157.27,4158.81,4157.11,4158.43,221
2025-11-27 19:51:00,4158.51,4158.98,4157.94,4158.72,210
2025-11-27 19:54:00,4158.72,4158.72,4156.97,4157.06,178
2025-11-27 19:57:00,4157.06,4157.78,4156.9,4157.42,246
2025-11-27 20:00:00,4157.42,4157.81,4157.04,4157.46,291
2025-11-27 20:03:00,4157.46,4158.39,4157.36,4158.04,216
2025-11-27 20:06:00,4158.05,4158.16,4157.36,4157.5,159
2025-11-27 20:09:00,4157.71,4157.82,4156.54,4156.71,178
2025-11-27 20:12:00,4156.71,4157.23,4155.9,4156.43,343
2025-11-27 20:15:00,4156.44,4156.91,4156.01,4156.01,181
2025-11-27 20:18:00,4155.96,4156.54,4155.34,4156.22,299
2025-11-27 20:21:00,4156.22,4157.55,4156.05,4156.52,225
2025-11-27 20:24:00,4156.47,4156.69,4155.44,4155.99,243
2025-11-27 20:27:00,4155.99,4156.26,4155.67,4156.02,190
2025-11-27 20:30:00,4156.02,4156.06,4155.67,4156.06,85
2025-11-27 20:33:00,4156.06,4157.13,4155.76,4156.46,168
2025-11-27 20:36:00,4156.46,4156.76,4156.2,4156.53,142
2025-11-27 20:39:00,4156.53,4157.03,4156.22,4156.95,129
2025-11-27 20:42:00,4156.99,4157.52,4156.61,4156.77,160
2025-11-27 20:45:00,4156.77,4157.09,4156.65,4156.72,133
2025-11-27 20:48:00,4156.72,4158.44,4156.65,4158.44,206
2025-11-27 20:51:00,4158.44,4158.56,4157.53,4158.31,228
2025-11-27 20:54:00,4158.33,4159.62,4158.23,4158.9,241
2025-11-27 20:57:00,4158.85,4159.2,4158.38,4158.93,131
2025-11-27 21:00:00,4158.93,4159.26,4158.65,4159.12,221
2025-11-27 21:03:00,4159.12,4159.48,4158.58,4158.97,227
2025-11-27 21:06:00,4159.22,4160.08,4158.94,4160.02,177
2025-11-27 21:09:00,4160.02,4160.02,4159.39,4159.44,130
2025-11-27 21:12:00,4159.44,4159.75,4158.79,4159.25,206
2025-11-27 21:15:00,4159.25,4159.77,4158.71,4158.81,265
2025-11-27 21:18:00,4158.81,4158.88,4158.39,4158.75,170
2025-11-27 21:21:00,4158.75,4158.75,4157.98,4157.99,162
2025-11-27 21:24:00,4158.0,4158.24,4157.24,4157.8,194
2025-11-27 21:27:00,4157.8,4157.91,4156.64,4156.75,204
2025-11-28 01:00:00,4157.33,4160.12,4157.19,4157.73,103
2025-11-28 01:03:00,4157.73,4159.83,4157.5,4159.79,150
2025-11-28 01:06:00,4159.79,4160.9,4159.79,4160.59,109
2025-11-28 01:09:00,4160.55,4162.23,4160.54,4161.7,129
2025-11-28 01:12:00,4161.68,4162.78,4161.62,4162.29,206
2025-11-28 01:15:00,4162.29,4162.31,4160.79,4161.52,188
2025-11-28 01:18:00,4161.52,4161.86,4160.63,4161.86,114
2025-11-28 01:21:00,4161.86,4162.2,4161.03,4162.0,173
2025-11-28 01:24:00,4162.0,4162.71,4161.81,4162.33,111
2025-11-28 01:27:00,4162.33,4162.77,4161.95,4162.62,87
2025-11-28 01:30:00,4162.62,4162.75,4162.07,4162.33,126
2025-11-28 01:33:00,4162.33,4163.18,4161.77,4162.57,158
2025-11-28 01:36:00,4162.79,4163.14,4162.46,4163.04,87
2025-11-28 01:39:00,4163.04,4163.15,4162.35,4162.71,70
2025-11-28 01:42:00,4162.93,4163.54,4161.62,4162.05,176
2025-11-28 01:45:00,4162.05,4162.97,4161.69,4162.14,227
2025-11-28 01:48:00,4162.14,4163.32,4162.05,4162.67,186
2025-11-28 01:51:00,4162.67,4163.64,4162.42,4163.03,113
2025-11-28 01:54:00,4162.97,4163.28,4162.7,4162.93,123
2025-11-28 01:57:00,4162.98,4163.3,4162.58,4162.66,237
2025-11-28 02:00:00,4162.66,4164.71,4162.54,4164.63,371
2025-11-28 02:03:00,4164.63,4165.88,4164.3,4165.1,188
2025-11-28 02:06:00,4165.1,4168.26,4165.08,4168.26,279
2025-11-28 02:09:00,4168.26,4168.48,4166.69,4167.0,212
2025-11-28 02:12:00,4167.0,4168.14,4166.21,4167.72,201
2025-11-28 02:15:00,4167.72,4169.42,4167.42,4169.42,274
2025-11-28 02:18:00,4169.42,4169.6,4166.29,4166.68,224
2025-11-28 02:21:00,4166.68,4169.57,4166.68,4169.16,205
2025-11-28 02:24:00,4169.16,4170.28,4168.19,4169.75,211
2025-11-28 02:27:00,4169.75,4171.62,4169.1,4170.33,365
2025-11-28 02:30:00,4170.33,4172.69,4170.02,4172.17,584
2025-11-28 02:33:00,4172.17,4181.77,4171.74,4179.07,964
2025-11-28 02:36:00,4179.07,4182.6,4175.92,4181.58,994
2025-11-28 02:39:00,4181.58,4181.61,4176.57,4180.0,806
2025-11-28 02:42:00,4180.0,4180.26,4178.47,4178.86,584
2025-11-28 02:45:00,4178.9,4180.7,4178.1,4180.69,528
2025-11-28 02:48:00,4180.69,4180.69,4178.74,4178.74,493
2025-11-28 02:51:00,4178.75,4182.09,4178.25,4180.75,506
2025-11-28 02:54:00,4180.72,4182.5,4180.47,4181.33,513
2025-11-28 02:57:00,4181.37,4182.05,4179.85,4180.34,474
2025-11-28 03:00:00,4180.33,4188.37,4180.28,4188.18,883
2025-11-28 03:03:00,4188.13,4191.08,4186.55,4190.0,883
2025-11-28 03:06:00,4190.37,4191.49,4188.92,4191.23,671
2025-11-28 03:09:00,4191.23,4191.37,4184.4,4186.5,729
2025-11-28 03:12:00,4186.5,4189.01,4185.99,4186.38,571
2025-11-28 03:15:00,4186.3,4187.71,4183.64,4183.64,672
2025-11-28 03:18:00,4183.7,4186.49,4182.95,4186.01,554
2025-11-28 03:21:00,4186.04,4187.73,4185.48,4187.37,657
2025-11-28 03:24:00,4187.32,4189.5,4187.06,4188.44,717
2025-11-28 03:27:00,4188.45,4188.55,4186.85,4187.33,681
2025-11-28 03:30:00,4187.28,4189.64,4186.62,4187.45,816
2025-11-28 03:33:00,4187.45,4187.76,4186.25,4187.01,546
2025-11-28 03:36:00,4187.01,4190.65,4186.13,4189.9,649
2025-11-28 03:39:00,4190.0,4192.06,4189.84,4191.81,513
2025-11-28 03:42:00,4191.81,4193.18,4191.61,4192.32,539
2025-11-28 03:45:00,4192.32,4192.76,4191.17,4191.86,389
