datetime,open,high,low,close,volume
2024-04-24 01:00:00,2001.82,2002.52,2000.62,2002.02,547
2024-04-24 02:00:00,2002.12,2004.97,2001.72,2003.22,644
2024-04-24 03:00:00,2003.12,2004.82,2001.62,2004.32,429
2024-04-24 04:00:00,2004.22,2004.62,2002.22,2003.72,541
2024-04-24 05:00:00,2003.77,2004.57,2001.92,2003.32,566
2024-04-24 06:00:00,2003.27,2005.12,2003.12,2004.52,427
2024-04-24 07:00:00,2004.47,2004.52,2002.77,2003.62,279
2024-04-24 08:00:00,2003.72,2005.12,2003.62,2004.62,402
2024-04-24 09:00:00,2004.72,2004.82,1998.77,1999.62,849
2024-04-24 10:00:00,1999.22,1999.57,1994.27,1998.52,1823
2024-04-24 11:00:00,1998.42,2000.35,1994.65,1994.7,1255
2024-04-24 12:00:00,1994.9,1998.9,1993.55,1994.9,1126
2024-04-24 13:00:00,1994.8,1996.7,1992.9,1993.1,1109
2024-04-24 14:00:00,1993.2,1997.6,1992.6,1996.8,1529
2024-04-24 15:00:00,1996.85,2000.8,1992.2,1994.15,2245
2024-04-24 16:00:00,1994.1,2005.45,1987.75,2000.75,6984
2024-04-24 17:00:00,2000.8,2005.45,1990.1,1992.0,10077
2024-04-24 18:00:00,1991.9,1993.25,1980.5,1983.2,8941
2024-04-24 19:00:00,1983.15,1987.15,1980.35,1986.75,8023
2024-04-24 20:00:00,1986.7,1995.7,1985.35,1995.05,6590
2024-04-24 21:00:00,1995.1,1995.3,1986.05,1988.15,8084
2024-04-24 22:00:00,1988.0,1996.45,1985.7,1992.65,7793
2024-04-24 23:00:00,1992.45,1997.4,1990.7,1996.8,3594
2024-04-25 01:00:00,1994.32,1996.62,1992.72,1993.72,1071
2024-04-25 02:00:00,1993.82,1995.22,1991.72,1992.42,591
2024-04-25 03:00:00,1992.47,1999.72,1992.47,1999.22,781
2024-04-25 04:00:00,1999.32,1999.42,1995.22,1996.32,705
2024-04-25 05:00:00,1996.27,1998.02,1996.02,1996.82,484
2024-04-25 06:00:00,1996.77,1997.02,1995.42,1995.62,300
2024-04-25 07:00:00,1995.82,1996.92,1995.02,1996.42,215
2024-04-25 08:00:00,1996.32,1996.32,1993.87,1994.52,494
2024-04-25 09:00:00,1994.62,2000.92,1993.62,2000.62,995
2024-04-25 10:00:00,2000.72,2001.52,1996.17,2000.12,1845
2024-04-25 11:00:00,2000.02,2005.65,1999.5,2004.45,1508
2024-04-25 12:00:00,2004.4,2007.4,2003.45,2004.9,1043
2024-04-25 13:00:00,2005.0,2006.6,2002.85,2003.15,1190
2024-04-25 14:00:00,2003.1,2003.7,1997.0,2003.2,1514
2024-04-25 15:00:00,2003.0,2009.9,1966.9,1971.1,4805
2024-04-25 16:00:00,1971.5,1973.3,1953.55,1957.9,8236
2024-04-25 17:00:00,1957.8,1969.05,1952.35,1963.2,10440
2024-04-25 18:00:00,1963.15,1968.6,1961.2,1968.25,8406
2024-04-25 19:00:00,1968.15,1973.8,1965.75,1972.15,7574
2024-04-25 20:00:00,1972.3,1980.15,1967.25,1978.15,8478
2024-04-25 21:00:00,1978.3,1979.15,1970.95,1976.15,8073
2024-04-25 22:00:00,1976.25,1983.95,1975.25,1980.9,8765
2024-04-25 23:00:00,1980.65,1980.65,1973.8,1977.4,3565
2024-04-26 01:00:00,1972.97,1976.82,1972.02,1976.82,786
2024-04-26 02:00:00,1976.72,1976.72,1973.32,1974.67,547
2024-04-26 03:00:00,1974.72,1975.62,1972.02,1975.32,647
2024-04-26 04:00:00,1975.42,1976.87,1971.62,1975.92,709
2024-04-26 05:00:00,1975.82,1976.62,1973.72,1974.82,389
2024-04-26 06:00:00,1974.92,1977.42,1974.62,1975.72,482
2024-04-26 07:00:00,1975.62,1977.42,1975.12,1976.42,327
2024-04-26 08:00:00,1976.47,1979.42,1975.92,1978.62,567
2024-04-26 09:00:00,1978.82,1980.92,1978.12,1978.42,872
2024-04-26 10:00:00,1978.52,1980.97,1974.52,1979.42,1813
2024-04-26 11:00:00,1979.52,1982.6,1978.2,1981.6,1426
2024-04-26 12:00:00,1981.75,1981.8,1978.3,1979.4,914
2024-04-26 13:00:00,1979.45,1980.35,1976.6,1978.6,1021
2024-04-26 14:00:00,1978.5,1981.7,1978.1,1981.1,1140
2024-04-26 15:00:00,1980.9,2006.9,1978.2,1986.9,4515
2024-04-26 16:00:00,1987.4,2000.2,1979.6,1999.2,7366
2024-04-26 17:00:00,1999.7,2003.5,1993.65,1996.5,9156
2024-04-26 18:00:00,1996.55,1999.9,1990.7,1997.7,6945
2024-04-26 19:00:00,1997.75,2004.1,1996.1,2004.05,5028
2024-04-26 20:00:00,2004.1,2004.9,2000.55,2003.4,4706
2024-04-26 21:00:00,2003.45,2004.15,1999.95,2003.55,4899
2024-04-26 22:00:00,2003.35,2003.7,1999.65,1999.95,4666
2024-04-26 23:00:00,1999.9,2003.25,1999.8,2002.95,1226
2024-04-29 01:00:00,2004.02,2005.92,2003.57,2004.82,568
2024-04-29 02:00:00,2004.92,2008.12,2004.47,2008.12,587
2024-04-29 03:00:00,2008.22,2008.42,2004.57,2007.22,572
2024-04-29 04:00:00,2007.32,2008.57,2006.12,2008.32,788
2024-04-29 05:00:00,2008.42,2008.62,2006.72,2007.52,625
2024-04-29 06:00:00,2007.42,2007.62,2006.62,2006.82,316
2024-04-29 07:00:00,2006.92,2009.72,2006.12,2008.82,899
2024-04-29 08:00:00,2008.72,2009.12,2007.67,2007.72,591
2024-04-29 09:00:00,2007.92,2007.92,2002.82,2002.82,1016
2024-04-29 10:00:00,2002.87,2007.02,2002.72,2006.12,1932
2024-04-29 11:00:00,2006.22,2008.0,2004.8,2005.6,1238
2024-04-29 12:00:00,2005.55,2005.8,2002.8,2003.8,1213
2024-04-29 13:00:00,2003.7,2004.8,2002.7,2003.6,1210
2024-04-29 14:00:00,2003.7,2007.75,2002.7,2007.2,1093
2024-04-29 15:00:00,2007.1,2010.35,2005.15,2009.3,1529
2024-04-29 16:00:00,2009.1,2018.85,2008.3,2012.1,6043
2024-04-29 17:00:00,2012.15,2017.4,2011.0,2013.6,7163
2024-04-29 18:00:00,2013.65,2016.0,2010.45,2013.75,5456
2024-04-29 19:00:00,2013.7,2020.45,2013.2,2015.85,4257
2024-04-29 20:00:00,2015.8,2019.35,2015.15,2018.55,4199
2024-04-29 21:00:00,2018.45,2018.45,2012.35,2016.6,4971
2024-04-29 22:00:00,2016.55,2016.55,2004.8,2015.45,8240
2024-04-29 23:00:00,2015.4,2016.35,2012.45,2012.55,1389
2024-04-30 01:00:00,2012.82,2012.92,2010.52,2011.32,686
2024-04-30 02:00:00,2011.22,2012.12,2010.52,2011.92,295
2024-04-30 03:00:00,2011.82,2012.22,2010.32,2010.32,607
2024-04-30 04:00:00,2010.27,2011.52,2010.22,2010.42,736
2024-04-30 05:00:00,2010.32,2010.82,2009.62,2009.72,438
2024-04-30 06:00:00,2009.62,2010.67,2009.07,2010.62,324
2024-04-30 07:00:00,2010.67,2010.77,2009.22,2009.32,256
2024-04-30 08:00:00,2009.27,2009.67,2006.02,2009.02,638
2024-04-30 09:00:00,2008.97,2011.52,2008.47,2010.82,926
2024-04-30 10:00:00,2010.92,2013.92,2009.92,2010.72,2011
2024-04-30 11:00:00,2010.62,2012.5,2007.7,2007.8,1353
2024-04-30 12:00:00,2007.75,2009.5,2005.45,2007.1,1424
2024-04-30 13:00:00,2007.05,2007.7,2005.9,2007.1,1031
2024-04-30 14:00:00,2007.05,2008.4,2004.25,2005.3,1303
2024-04-30 15:00:00,2005.4,2008.8,1986.8,1995.3,3814
2024-04-30 16:00:00,1995.4,2002.35,1987.3,1997.6,7519
2024-04-30 17:00:00,1997.65,2001.85,1991.35,1995.45,9155
2024-04-30 18:00:00,1995.35,1996.95,1985.85,1989.0,8039
2024-04-30 19:00:00,1988.95,1990.55,1980.35,1982.85,7120
2024-04-30 20:00:00,1982.9,1987.95,1981.75,1987.5,6840
2024-04-30 21:00:00,1987.55,1988.75,1980.45,1981.75,6678
2024-04-30 22:00:00,1981.65,1984.25,1972.85,1973.55,7142
2024-04-30 23:00:00,1973.45,1974.6,1966.1,1968.9,4583
2024-05-01 01:00:00,1969.27,1970.72,1967.17,1969.62,1022
2024-05-01 02:00:00,1969.77,1971.52,1968.32,1970.52,819
2024-05-01 03:00:00,1970.62,1971.82,1969.17,1971.02,717
2024-05-01 04:00:00,1970.92,1972.82,1970.32,1972.02,534
2024-05-01 05:00:00,1972.07,1973.82,1970.12,1973.82,612
2024-05-01 06:00:00,1973.87,1975.12,1973.37,1974.32,442
2024-05-01 07:00:00,1974.37,1974.72,1973.12,1974.02,351
2024-05-01 08:00:00,1974.07,1974.07,1971.67,1971.92,373
2024-05-01 09:00:00,1972.02,1972.72,1969.42,1971.02,846
2024-05-01 10:00:00,1971.12,1972.02,1966.12,1967.72,1222
2024-05-01 11:00:00,1967.52,1969.3,1965.9,1967.3,1079
2024-05-01 12:00:00,1967.2,1967.5,1960.3,1963.9,1574
2024-05-01 13:00:00,1964.0,1965.4,1960.9,1965.1,1328
2024-05-01 14:00:00,1965.2,1966.2,1963.1,1964.1,1415
2024-05-01 15:00:00,1964.2,1975.3,1963.0,1972.3,3038
2024-05-01 16:00:00,1972.2,1984.45,1971.35,1975.45,6179
2024-05-01 17:00:00,1976.5,1978.25,1968.05,1973.85,9191
2024-05-01 18:00:00,1974.05,1974.15,1965.55,1967.8,6753
2024-05-01 19:00:00,1967.75,1975.95,1965.85,1970.95,6957
2024-05-01 20:00:00,1971.0,1977.85,1968.85,1974.0,5500
2024-05-01 21:00:00,1974.05,2015.15,1970.07,2014.2,12519
2024-05-01 22:00:00,2014.4,2019.4,1976.95,1977.25,12742
2024-05-01 23:00:00,1977.35,1985.6,1976.75,1985.0,3179
2024-05-02 01:00:00,1986.02,1988.72,1985.77,1988.52,913
2024-05-02 02:00:00,1988.57,1992.62,1988.07,1992.02,763
2024-05-02 03:00:00,1991.82,1993.52,1990.12,1992.72,1076
2024-05-02 04:00:00,1992.62,1995.32,1991.52,1995.12,953
2024-05-02 05:00:00,1995.07,1996.57,1994.37,1995.22,639
2024-05-02 06:00:00,1995.32,1995.42,1993.52,1993.92,468
2024-05-02 07:00:00,1993.97,1994.57,1993.32,1994.52,189
2024-05-02 08:00:00,1994.42,1996.02,1993.07,1995.52,565
2024-05-02 09:00:00,1995.72,1997.82,1993.72,1994.82,1507
2024-05-02 10:00:00,1994.77,2003.92,1993.92,2000.42,2739
2024-05-02 11:00:00,2000.52,2005.2,1999.75,2000.0,1955
2024-05-02 12:00:00,2000.1,2001.35,1998.5,2000.5,1224
2024-05-02 13:00:00,2000.55,2001.2,1997.3,2000.2,1229
2024-05-02 14:00:00,2000.3,2002.4,1995.6,1996.6,1479
2024-05-02 15:00:00,1996.8,2006.7,1995.1,2000.9,2898
2024-05-02 16:00:00,2001.1,2006.7,1987.6,1989.8,7205
2024-05-02 17:00:00,1989.85,1998.95,1980.15,1998.35,10902
2024-05-02 18:00:00,1998.25,2001.9,1996.55,2001.1,8933
2024-05-02 19:00:00,2001.2,2003.0,1994.65,2002.4,8047
2024-05-02 20:00:00,2002.45,2009.85,2002.35,2008.15,7023
2024-05-02 21:00:00,2008.35,2014.7,2006.95,2013.3,7344
2024-05-02 22:00:00,2013.35,2016.55,2009.05,2016.25,8447
2024-05-02 23:00:00,2016.1,2019.5,2013.25,2014.2,3614
2024-05-03 01:00:00,2013.22,2015.92,2011.87,2013.52,1137
2024-05-03 02:00:00,2013.42,2014.72,2011.52,2013.72,651
2024-05-03 03:00:00,2013.82,2016.32,2012.52,2015.62,678
2024-05-03 04:00:00,2015.67,2016.22,2013.02,2013.02,948
2024-05-03 05:00:00,2012.97,2013.62,2010.82,2010.97,705
2024-05-03 06:00:00,2011.02,2012.87,2010.87,2012.62,462
2024-05-03 07:00:00,2012.72,2012.82,2011.27,2011.52,293
2024-05-03 08:00:00,2011.42,2013.07,2010.82,2012.82,417
2024-05-03 09:00:00,2012.77,2012.82,2010.07,2011.72,892
2024-05-03 10:00:00,2011.62,2012.52,2007.72,2011.32,1908
2024-05-03 11:00:00,2011.42,2013.05,2010.2,2012.4,1233
2024-05-03 12:00:00,2012.5,2013.93,2009.67,2013.3,1132
2024-05-03 13:00:00,2013.2,2014.55,2011.5,2011.5,1128
2024-05-03 14:00:00,2011.6,2013.3,2009.5,2010.9,1264
2024-05-03 15:00:00,2011.2,2058.0,2010.7,2051.0,5012
2024-05-03 16:00:00,2051.1,2056.4,2042.8,2051.85,8270
2024-05-03 17:00:00,2051.97,2057.8,2028.95,2031.35,10718
2024-05-03 18:00:00,2031.4,2035.7,2026.85,2033.9,8273
2024-05-03 19:00:00,2033.95,2036.5,2032.7,2034.0,6085
2024-05-03 20:00:00,2034.05,2036.3,2028.25,2034.8,5310
2024-05-03 21:00:00,2034.65,2038.35,2031.65,2033.65,4736
2024-05-03 22:00:00,2033.6,2035.95,2030.45,2034.45,5564
2024-05-03 23:00:00,2034.55,2038.55,2034.5,2037.15,1521
2024-05-06 01:00:00,2041.87,2043.52,2041.12,2041.92,558
2024-05-06 02:00:00,2041.97,2043.22,2038.12,2038.62,476
2024-05-06 03:00:00,2038.82,2040.42,2036.92,2039.42,491
