datetime,open,high,low,close,volume
2000-03-29 12:00:00,0.957,0.9591,0.9555,0.9572,912
2000-03-29 16:00:00,0.957,0.9578,0.9478,0.9537,1469
2000-03-29 20:00:00,0.9537,0.9541,0.9502,0.9514,683
2000-03-30 00:00:00,0.9514,0.954,0.9512,0.9537,748
2000-03-30 04:00:00,0.9538,0.9547,0.9528,0.9541,573
2000-03-30 08:00:00,0.9539,0.9578,0.9522,0.9573,1588
2000-03-30 12:00:00,0.9575,0.9583,0.951,0.9541,1944
2000-03-30 16:00:00,0.954,0.9618,0.9516,0.961,1367
2000-03-30 20:00:00,0.9611,0.9624,0.9602,0.9612,609
2000-03-31 00:00:00,0.9613,0.9632,0.9585,0.9589,748
2000-03-31 04:00:00,0.9589,0.9597,0.9579,0.9583,668
2000-03-31 08:00:00,0.9585,0.9601,0.9554,0.9565,1623
2000-03-31 12:00:00,0.9562,0.9574,0.9528,0.957,2027
2000-03-31 16:00:00,0.9568,0.9589,0.9559,0.9576,1274
2000-03-31 20:00:00,0.9577,0.9583,0.955,0.9552,489
2000-04-03 00:00:00,0.9562,0.9575,0.9532,0.9544,707
2000-04-03 04:00:00,0.9545,0.955,0.9506,0.9506,918
2000-04-03 08:00:00,0.9508,0.9547,0.9502,0.9541,1672
2000-04-03 12:00:00,0.954,0.9581,0.9528,0.956,1161
2000-04-03 16:00:00,0.9558,0.9606,0.9525,0.9563,1338
2000-04-03 20:00:00,0.9565,0.9593,0.9536,0.9538,464
2000-04-04 00:00:00,0.9539,0.9568,0.9537,0.9558,461
2000-04-04 04:00:00,0.9557,0.9575,0.9554,0.9557,538
2000-04-04 08:00:00,0.9557,0.9571,0.9519,0.9533,1569
2000-04-04 12:00:00,0.9534,0.9553,0.9524,0.9539,1589
2000-04-04 16:00:00,0.954,0.9749,0.9515,0.9662,1589
2000-04-04 20:00:00,0.9657,0.9677,0.9589,0.9618,811
2000-04-05 00:00:00,0.9617,0.9632,0.9602,0.9627,820
2000-04-05 04:00:00,0.9624,0.9643,0.9622,0.9625,912
2000-04-05 08:00:00,0.9625,0.9663,0.9594,0.9652,1660
2000-04-05 12:00:00,0.9654,0.9712,0.9646,0.9681,1975
2000-04-05 16:00:00,0.9685,0.9686,0.9607,0.9627,1417
2000-04-05 20:00:00,0.9627,0.9649,0.9603,0.9607,577
2000-04-06 00:00:00,0.9607,0.9625,0.9602,0.9624,576
2000-04-06 04:00:00,0.9626,0.9631,0.9615,0.9618,624
2000-04-06 08:00:00,0.9616,0.9642,0.9609,0.962,1616
2000-04-06 12:00:00,0.9623,0.9638,0.9572,0.9594,1781
2000-04-06 16:00:00,0.9595,0.9598,0.9565,0.9588,1341
2000-04-06 20:00:00,0.9588,0.9604,0.9575,0.9582,531
2000-04-07 00:00:00,0.9581,0.9585,0.9552,0.9571,578
2000-04-07 04:00:00,0.9568,0.9578,0.9566,0.9568,764
2000-04-07 08:00:00,0.9569,0.9601,0.9567,0.9597,1520
2000-04-07 12:00:00,0.9597,0.9601,0.9537,0.9571,1784
2000-04-07 16:00:00,0.9572,0.9609,0.9555,0.9564,1343
2000-04-07 20:00:00,0.9567,0.9569,0.9537,0.9545,609
2000-04-10 00:00:00,0.9548,0.9564,0.9534,0.9549,547
2000-04-10 04:00:00,0.9548,0.957,0.9545,0.9565,588
2000-04-10 08:00:00,0.9565,0.958,0.955,0.9573,1723
2000-04-10 12:00:00,0.9572,0.9616,0.956,0.9605,1769
2000-04-10 16:00:00,0.9603,0.9628,0.9584,0.9611,1067
2000-04-10 20:00:00,0.9616,0.963,0.9602,0.9624,557
2000-04-11 00:00:00,0.9625,0.963,0.9615,0.9618,541
2000-04-11 04:00:00,0.9619,0.9634,0.9616,0.9623,617
2000-04-11 08:00:00,0.9625,0.9643,0.9618,0.9623,2034
2000-04-11 12:00:00,0.9621,0.9638,0.9584,0.9613,1870
2000-04-11 16:00:00,0.9617,0.9649,0.9562,0.9594,1530
2000-04-11 20:00:00,0.9593,0.9605,0.9582,0.9587,625
2000-04-12 00:00:00,0.9588,0.96,0.9579,0.9594,572
2000-04-12 04:00:00,0.9597,0.9605,0.9587,0.9592,630
2000-04-12 08:00:00,0.9593,0.9607,0.9566,0.9575,2034
2000-04-12 12:00:00,0.9573,0.9587,0.9547,0.9577,2154
2000-04-12 16:00:00,0.9577,0.9592,0.9521,0.956,1654
2000-04-12 20:00:00,0.956,0.9593,0.955,0.959,567
2000-04-13 00:00:00,0.9589,0.9595,0.9569,0.9577,577
2000-04-13 04:00:00,0.9577,0.9587,0.9562,0.9577,802
2000-04-13 08:00:00,0.9579,0.9602,0.956,0.9586,2028
2000-04-13 12:00:00,0.9577,0.9585,0.9514,0.9562,2406
2000-04-13 16:00:00,0.956,0.9571,0.9513,0.9529,1154
2000-04-13 20:00:00,0.9528,0.9553,0.9526,0.953,336
2000-04-14 00:00:00,0.9528,0.9538,0.951,0.9521,670
2000-04-14 04:00:00,0.9523,0.9547,0.9514,0.9536,732
