datetime,open,high,low,close,volume
2022-04-11 19:30:00,1.08816,1.08849,1.08758,1.08778,768
2022-04-11 20:00:00,1.08779,1.08868,1.08776,1.08783,829
2022-04-11 20:30:00,1.08783,1.08887,1.08781,1.08825,709
2022-04-11 21:00:00,1.08826,1.08912,1.08808,1.08882,732
2022-04-11 21:30:00,1.08882,1.08949,1.08872,1.089,758
2022-04-11 22:00:00,1.08902,1.08908,1.08857,1.08859,540
2022-04-11 22:30:00,1.08859,1.08882,1.08818,1.08843,621
2022-04-11 23:00:00,1.08839,1.08851,1.08807,1.08807,417
2022-04-11 23:30:00,1.08807,1.0884,1.08803,1.08837,205
2022-04-12 00:00:00,1.08834,1.08835,1.08815,1.08835,55
2022-04-12 00:30:00,1.08835,1.08842,1.08822,1.08834,80
2022-04-12 01:00:00,1.08839,1.08861,1.08826,1.08856,291
2022-04-12 01:30:00,1.08856,1.08862,1.088,1.08805,179
2022-04-12 02:00:00,1.08805,1.08856,1.08782,1.08805,396
2022-04-12 02:30:00,1.08805,1.08811,1.0877,1.0877,410
2022-04-12 03:00:00,1.08771,1.08873,1.08756,1.08803,754
2022-04-12 03:30:00,1.08804,1.08813,1.08712,1.08745,662
2022-04-12 04:00:00,1.08746,1.08746,1.08667,1.08683,660
2022-04-12 04:30:00,1.08683,1.08726,1.08675,1.08713,708
2022-04-12 05:00:00,1.08713,1.08721,1.08669,1.08717,647
2022-04-12 05:30:00,1.08717,1.08749,1.08709,1.08715,647
2022-04-12 06:00:00,1.08715,1.0877,1.08712,1.08735,447
2022-04-12 06:30:00,1.08735,1.08758,1.08723,1.08747,493
2022-04-12 07:00:00,1.08747,1.08824,1.08747,1.08815,523
2022-04-12 07:30:00,1.08815,1.08831,1.08793,1.08794,514
2022-04-12 08:00:00,1.08794,1.08807,1.08742,1.08753,702
2022-04-12 08:30:00,1.08756,1.0882,1.08703,1.08707,694
2022-04-12 09:00:00,1.08699,1.08724,1.08608,1.08639,1202
2022-04-12 09:30:00,1.08643,1.08696,1.08601,1.08607,1131
2022-04-12 10:00:00,1.08604,1.0864,1.08537,1.08605,1698
2022-04-12 10:30:00,1.08605,1.0873,1.08589,1.08712,1372
2022-04-12 11:00:00,1.08712,1.08716,1.08616,1.08644,1269
2022-04-12 11:30:00,1.08642,1.08665,1.08555,1.08621,1043
2022-04-12 12:00:00,1.0862,1.08726,1.08597,1.08674,1037
2022-04-12 12:30:00,1.08674,1.08738,1.08644,1.08736,903
2022-04-12 13:00:00,1.08736,1.08739,1.0868,1.08729,810
2022-04-12 13:30:00,1.08729,1.08733,1.08657,1.0867,894
2022-04-12 14:00:00,1.08669,1.08686,1.08583,1.08614,824
2022-04-12 14:30:00,1.08614,1.08653,1.08549,1.08623,1229
2022-04-12 15:00:00,1.08627,1.08648,1.08511,1.08531,1094
2022-04-12 15:30:00,1.08537,1.09036,1.08537,1.08955,2610
2022-04-12 16:00:00,1.08958,1.09031,1.08725,1.08773,2299
2022-04-12 16:30:00,1.08774,1.08815,1.0869,1.08703,2069
2022-04-12 17:00:00,1.08703,1.08858,1.08702,1.08799,1662
2022-04-12 17:30:00,1.088,1.08883,1.08725,1.08729,1586
2022-04-12 18:00:00,1.08729,1.08754,1.08606,1.08621,1674
